expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer
64,3000,33,34, GVWY,15639,10,1563.9, PRSH,6955,10,695.5, SHVR,19735,10,1973.5, ZIC,955,10,95.5, ZIP,11374,10,1137.4,33,34, ,,,
65,3000,29,32, GVWY,14795,10,1479.5, PRSH,2397,10,239.7, SHVR,13590,10,1359, ZIC,6657,10,665.7, ZIP,14597,10,1459.7,29,32, ,,,
66,3000,33,35, GVWY,19050,10,1905, PRSH,6586,10,658.6, SHVR,15908,10,1590.8, ZIC,3098,10,309.8, ZIP,14524,10,1452.4,33,35, ,,,
67,3000,22,38, GVWY,16378,10,1637.8, PRSH,6868,10,686.8, SHVR,14786,10,1478.6, ZIC,4236,10,423.6, ZIP,20327,10,2032.7,22,38, ,,,
68,3000,35,38, GVWY,12948,10,1294.8, PRSH,2296,10,229.6, SHVR,23129,10,2312.9, ZIC,2391,10,239.1, ZIP,14364,10,1436.4,35,38, ,,,
69,3000,29,32, GVWY,5795,10,579.5, PRSH,4400,10,440, SHVR,8926,10,892.6, ZIC,4892,10,489.2, ZIP,20150,10,2015,29,32, ,,,
70,3000,30,31, GVWY,13872,10,1387.2, PRSH,5505,10,550.5, SHVR,13479,10,1347.9, ZIC,7408,10,740.8, ZIP,14892,10,1489.2,30,31, ,,,
71,3000,30,40, GVWY,15692,10,1569.2, PRSH,6512,10,651.2, SHVR,17040,10,1704, ZIC,1983,10,198.3, ZIP,16077,10,1607.7,30,40, ,,,
72,3000,29,32, GVWY,7946,10,794.6, PRSH,4605,10,460.5, SHVR,19369,10,1936.9, ZIC,3121,10,312.1, ZIP,23115,10,2311.5,29,32, ,,,
73,3000,29,32, GVWY,14393,10,1439.3, PRSH,2973,10,297.3, SHVR,15490,10,1549, ZIC,8640,10,864, ZIP,14860,10,1486,29,32, ,,,
74,3000,31,34, GVWY,13804,10,1380.4, PRSH,3796,10,379.6, SHVR,23394,10,2339.4, ZIC,3805,10,380.5, ZIP,15680,10,1568,31,34, ,,,
75,3000,34,38, GVWY,14843,10,1484.3, PRSH,5678,10,567.8, SHVR,22651,10,2265.1, ZIC,2706,10,270.6, ZIP,21293,10,2129.3,34,38, ,,,
76,3000,33,34, GVWY,14495,10,1449.5, PRSH,4282,10,428.2, SHVR,8769,10,876.9, ZIC,7584,10,758.4, ZIP,21683,10,2168.3,33,34, ,,,
77,3000,34,35, GVWY,12332,10,1233.2, PRSH,8050,10,805, SHVR,22393,10,2239.3, ZIC,4421,10,442.1, ZIP,8899,10,889.9,34,35, ,,,
78,3000,34,40, GVWY,12303,10,1230.3, PRSH,5193,10,519.3, SHVR,19395,10,1939.5, ZIC,6662,10,666.2, ZIP,8383,10,838.3,34,40, ,,,
79,3000,34,39, GVWY,23655,10,2365.5, PRSH,3883,10,388.3, SHVR,7476,10,747.6, ZIC,2181,10,218.1, ZIP,16153,10,1615.3,34,39, ,,,
80,3000,30,32, GVWY,11018,10,1101.8, PRSH,2035,10,203.5, SHVR,23947,10,2394.7, ZIC,6905,10,690.5, ZIP,19409,10,1940.9,30,32, ,,,
81,3000,33,35, GVWY,5243,10,524.3, PRSH,5240,10,524, SHVR,17501,10,1750.1, ZIC,5656,10,565.6, ZIP,16673,10,1667.3,33,35, ,,,
82,3000,36,45, GVWY,11020,10,1102, PRSH,1768,10,176.8, SHVR,11538,10,1153.8, ZIC,8117,10,811.7, ZIP,17521,10,1752.1,36,45, ,,,
83,3000,34,40, GVWY,12755,10,1275.5, PRSH,1415,10,141.5, SHVR,14775,10,1477.5, ZIC,5322,10,532.2, ZIP,18113,10,1811.3,34,40, ,,,
84,3000,33,38, GVWY,10584,10,1058.4, PRSH,357,10,35.7, SHVR,18866,10,1886.6, ZIC,4901,10,490.1, ZIP,21425,10,2142.5,33,38, ,,,
85,3000,36,37, GVWY,16590,10,1659, PRSH,2970,10,297, SHVR,11053,10,1105.3, ZIC,9052,10,905.2, ZIP,13736,10,1373.6,36,37, ,,,
86,3000,35,40, GVWY,13762,10,1376.2, PRSH,3989,10,398.9, SHVR,23412,10,2341.2, ZIC,4272,10,427.2, ZIP,16815,10,1681.5,35,40, ,,,
87,3000,30,37, GVWY,9240,10,924, PRSH,11864,10,1186.4, SHVR,24799,10,2479.9, ZIC,5296,10,529.6, ZIP,2419,10,241.9,30,37, ,,,
88,3000,31,34, GVWY,16466,10,1646.6, PRSH,2966,10,296.6, SHVR,13584,10,1358.4, ZIC,8685,10,868.5, ZIP,16914,10,1691.4,31,34, ,,,
89,3000,33,34, GVWY,19304,10,1930.4, PRSH,3302,10,330.2, SHVR,20324,10,2032.4, ZIC,7981,10,798.1, ZIP,6192,10,619.2,33,34, ,,,
90,3000,31,34, GVWY,7939,10,793.9, PRSH,7403,10,740.3, SHVR,24863,10,2486.3, ZIC,2423,10,242.3, ZIP,21074,10,2107.4,31,34, ,,,
91,3000,32,35, GVWY,12687,10,1268.7, PRSH,7214,10,721.4, SHVR,10141,10,1014.1, ZIC,2787,10,278.7, ZIP,18312,10,1831.2,32,35, ,,,
92,3000,28,29, GVWY,9768,10,976.8, PRSH,8561,10,856.1, SHVR,12578,10,1257.8, ZIC,1767,10,176.7, ZIP,24495,10,2449.5,28,29, ,,,
93,3000,30,35, GVWY,4028,10,402.8, PRSH,9251,10,925.1, SHVR,18819,10,1881.9, ZIC,3930,10,393, ZIP,14958,10,1495.8,30,35, ,,,
94,3000,33,36, GVWY,9797,10,979.7, PRSH,6810,10,681, SHVR,25983,10,2598.3, ZIC,1031,10,103.1, ZIP,6645,10,664.5,33,36, ,,,
95,3000,34,41, GVWY,15218,10,1521.8, PRSH,4805,10,480.5, SHVR,15396,10,1539.6, ZIC,4416,10,441.6, ZIP,16075,10,1607.5,34,41, ,,,
96,3000,32,40, GVWY,12241,10,1224.1, PRSH,4560,10,456, SHVR,14174,10,1417.4, ZIC,6285,10,628.5, ZIP,25786,10,2578.6,32,40, ,,,
97,3000,28,29, GVWY,16685,10,1668.5, PRSH,6262,10,626.2, SHVR,17704,10,1770.4, ZIC,5091,10,509.1, ZIP,17542,10,1754.2,28,29, ,,,
98,3000,26,35, GVWY,19240,10,1924, PRSH,2235,10,223.5, SHVR,22119,10,2211.9, ZIC,7392,10,739.2, ZIP,5041,10,504.1,26,35, ,,,
99,3000,32,38, GVWY,10621,10,1062.1, PRSH,5777,10,577.7, SHVR,17676,10,1767.6, ZIC,4648,10,464.8, ZIP,19412,10,1941.2,32,38, ,,,
100,3000,27,30, GVWY,11478,10,1147.8, PRSH,5962,10,596.2, SHVR,17990,10,1799, ZIC,5144,10,514.4, ZIP,20793,10,2079.3,27,30, ,,,
101,3000,30,33, GVWY,20198,10,2019.8, PRSH,2084,10,208.4, SHVR,18242,10,1824.2, ZIC,8320,10,832, ZIP,17046,10,1704.6,30,33, ,,,
102,3000,23,32, GVWY,14503,10,1450.3, PRSH,9678,10,967.8, SHVR,14889,10,1488.9, ZIC,8677,10,867.7, ZIP,15433,10,1543.3,23,32, ,,,
103,3000,29,32, GVWY,6340,10,634, PRSH,8949,10,894.9, SHVR,25993,10,2599.3, ZIC,2193,10,219.3, ZIP,18931,10,1893.1,29,32, ,,,
104,3000,31,34, GVWY,13378,10,1337.8, PRSH,1978,10,197.8, SHVR,14859,10,1485.9, ZIC,9616,10,961.6, ZIP,10395,10,1039.5,31,34, ,,,
105,3000,37,38, GVWY,21014,10,2101.4, PRSH,6347,10,634.7, SHVR,22561,10,2256.1, ZIC,6066,10,606.6, ZIP,10143,10,1014.3,37,38, ,,,
106,3000,27,34, GVWY,18982,10,1898.2, PRSH,2858,10,285.8, SHVR,11297,10,1129.7, ZIC,6362,10,636.2, ZIP,22215,10,2221.5,27,34, ,,,
107,3000,35,36, GVWY,4193,10,419.3, PRSH,2885,10,288.5, SHVR,18359,10,1835.9, ZIC,8120,10,812, ZIP,18788,10,1878.8,35,36, ,,,
108,3000,32,35, GVWY,5742,10,574.2, PRSH,9775,10,977.5, SHVR,23309,10,2330.9, ZIC,4100,10,410, ZIP,21503,10,2150.3,32,35, ,,,
109,3000,33,40, GVWY,19694,10,1969.4, PRSH,1808,10,180.8, SHVR,16282,10,1628.2, ZIC,2802,10,280.2, ZIP,13151,10,1315.1,33,40, ,,,
110,3000,33,35, GVWY,18526,10,1852.6, PRSH,5714,10,571.4, SHVR,16060,10,1606, ZIC,6630,10,663, ZIP,12053,10,1205.3,33,35, ,,,
111,3000,31,38, GVWY,11253,10,1125.3, PRSH,1369,10,136.9, SHVR,15412,10,1541.2, ZIC,5434,10,543.4, ZIP,16478,10,1647.8,31,38, ,,,
112,3000,31,36, GVWY,15732,10,1573.2, PRSH,3528,10,352.8, SHVR,20180,10,2018, ZIC,1894,10,189.4, ZIP,16066,10,1606.6,31,36, ,,,
113,3000,31,32, GVWY,8983,10,898.3, PRSH,950,10,95, SHVR,17637,10,1763.7, ZIC,5403,10,540.3, ZIP,22056,10,2205.6,31,32, ,,,
114,3000,33,34, GVWY,17333,10,1733.3, PRSH,3811,10,381.1, SHVR,6416,10,641.6, ZIC,7279,10,727.9, ZIP,14102,10,1410.2,33,34, ,,,
115,3000,31,44, GVWY,15407,10,1540.7, PRSH,7295,10,729.5, SHVR,12923,10,1292.3, ZIC,4444,10,444.4, ZIP,16837,10,1683.7,31,44, ,,,
